name,geometry,@id,direction
( ၁ ) ဂိတ် မှတ်တိုင်,POINT (96.0973319 16.9152763),node/4847017538,OUTBOUND; W; norhtwest; north; southwest
( ၁ ) ဈေး ကွေ့ မှတ်တိုင်,POINT (96.1952103 16.7961857),node/4841300197,E; east; forward; inbound
( ၁ ) ဈေး ကွေ့ မှတ်တိုင်,POINT (96.1954986 16.7964999),node/4841300198,E; east; outbound; southeast
( ၁ ) ဈေး ကွေ့ မှတ်တိုင်,POINT (96.1955937 16.7963593),node/4841300199,E; east; north; outbound
( ၁ ) ဈေး ကွေ့ မှတ်တိုင်,POINT (96.1955623 16.7962605),node/4841300200,E; east; outbound; south
( ၁ ) ထိပ် မှတ်တိုင်,POINT (96.0784019 16.8782294),node/4836115972,E; Outbound; inbound; north; northeast; outbound; outboundinbound
( ၁ ) ထိပ် မှတ်တိုင်,POINT (96.0784236 16.8780736),node/4836115973,E; inbound; outbound; outboundinbound; south; southwest
( ၁ ) ထိပ် မှတ်တိုင်,POINT (96.0789351 16.8778071),node/4905546760,E; anticlockwise
( ၁ ) နံပါတ် မှတ်တိုင်,POINT (96.124055 16.9749017),node/4841337261,Inbound; inbound; west
( ၁ ) နံပါတ် မှတ်တိုင်,POINT (96.124309 16.974721),node/4841337262,Outbound; east; outbound
( ၁ )ဂိတ် မှတ်တိုင်,POINT (96.0971994 16.9155154),node/4847017537,E; INBOUND; Intbound; north; northeast; south
( ၁၀ ) ဈေး မှတ်တိုင်,POINT (96.2203011 16.8082368),node/4854907877,E; east; outbound; west
( ၁၀ ) ဈေး မှတ်တိုင်,POINT (96.2203456 16.8081924),node/4854907878,E; east; outbound
( ၁၀ ) မိုင် ကုန်း မှတ်တိုင်,POINT (96.1292356 16.8887079),node/4841196604,OUTBOUND; east; outbound; outboundinbound; west
( ၁၀ ) မိုင် ကုန်း မှတ်တိုင်,POINT (96.1294951 16.8886605),node/5265371843,INBOUND; inbound; outbound; outboundinbound
( ၁၀၆ ) မှတ်တိုင်,POINT (96.1566709 16.8431286),node/4847113130,E; N; Outbound; north; northeast
( ၁၀၆ ) မှတ်တိုင်,POINT (96.1207973 16.9283678),node/4849313353,east; north; west
( ၁၀၆ ) မှတ်တိုင်,POINT (96.1206174 16.9282093),node/4849313354,East; southeast; west
( ၁၀၆ ) မှတ်တိုင်,POINT (96.1565335 16.843125),node/4863281660,E; inbound; south; southwest
( ၁၀၈ ) တောင် ဘုရား မှတ်တိုင်,POINT (96.2193947 16.8065024),node/4840933090,E; east; forward; inbound; north; south; west
( ၁၀၈ ) တောင် ဘုရား မှတ်တိုင်,POINT (96.2189853 16.8064479),node/4840933091,E; east; outbound; south; southeast
( ၁၁ ) လမ်း မှတ်တိုင်,POINT (96.2678516 16.8235538),node/4861113059,inbound; northwest; outbound
( ၁၁ ) လမ်း မှတ်တိုင်,POINT (96.2679135 16.8235378),node/4861119445,inbound; outbound; southeast
( ၁၃ ) ဂိတ် မှတ်တိုင်,POINT (96.2196833 16.7936702),node/4849301031,S; inbound; north
( ၁၃ ) ဂိတ် မှတ်တိုင်,POINT (96.2195886 16.7932433),node/4849301032,N; south
( ၁၄ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.0884808 16.9333988),node/4847094079,East; Intbound; northeast; south
( ၁၄ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.0884745 16.9335002),node/4847095614,norhtwest; north; southwest; west
( ၁၄ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.0876685 16.9335697),node/4918708475,southwest
( ၁၄ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.0879085 16.9336168),node/4918708476,northeast
( ၁၄ / ၁၅ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.185887 16.8368499),node/4840877009,east; north
( ၁၄ / ၁၅ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.1861677 16.8371552),node/4853772324,
( ၁၄ / ၁၅ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.1856681 16.8369523),node/4853772325,south
( ၁၄ / ၁၅ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.18581 16.8369557),node/4994212770,north; outbound; south
( ၁၅ ) လမ်း မှတ်တိုင်,POINT (96.1463869 16.7746965),node/4840930040,east; south
( ၁၆ ) ကွေ့ မှတ်တိုင်,POINT (96.1764237 16.8337641),node/4840877003,east; north
( ၁၆ ) ကွေ့ မှတ်တိုင်,POINT (96.1764872 16.8338823),node/4863825923,outbound; south
( ၁၈ ) ကွေ့ မှတ်တိုင်,POINT (96.234523 16.8580402),node/4863372960,outboundinbound; west
( ၁၈ ) ကွေ့ မှတ်တိုင်,POINT (96.2345842 16.8580205),node/4863376920,east; outboundinbound; southeast
( ၂ ) စျေး မှတ်တိုင်,POINT (96.1558468 16.8790143),node/4847021299,W; inbound; south; southwest; west
( ၂ ) စျေး မှတ်တိုင်,POINT (96.1560853 16.8787979),node/4847021300,E; N; east; north; northeast
( ၂ ) ဈေး မှတ်တိုင်,POINT (96.158228 16.8790648),node/4861075687,south; southeast
( ၂ ) ဈေး မှတ်တိုင်,POINT (96.1583482 16.8791808),node/4861075688,north
( ၃ ) ဂိတ်ဟောင်း မှတ်တိုင်,POINT (96.1955296 16.7776531),node/4836617684,S; east; inbound; south
( ၃ ) ဂိတ်ဟောင်း မှတ်တိုင်,POINT (96.1953561 16.7777126),node/4836617685,E; north; west
( ၃ ) ဂိတ်ဟောင်း မှတ်တိုင်,POINT (96.1953377 16.7775868),node/5229564709,E; N
( ၃ ) ထိပ် မှတ်တိုင်,POINT (96.0750683 16.8777205),node/4836118897,E; Outbound; inbound; north; northeast; outbound; outboundinbound
( ၃ ) ထိပ် မှတ်တိုင်,POINT (96.0750842 16.8776048),node/4836118898,E; inbound; outbound; outboundinbound; south; southwest
( ၃၄ ) ကားကြီးဂိတ် မှတ်တိုင်,POINT (96.2230978 16.8095715),node/4856893033,E; east; outbound
( ၃၄ ) ကားကြီးဂိတ် မှတ်တိုင်,POINT (96.2245389 16.8104212),node/4856893034,E; east; outbound; west
( ၄၃၅ ) မှတ်တိုင်,POINT (96.1617553 16.8704888),node/4861121469,north
( ၄၃၅ ) မှတ်တိုင်,POINT (96.1617027 16.8704097),node/4861121470,south; southeast
( ၄၃၆ ) မှတ်တိုင်,POINT (96.1681782 16.8667327),node/4861064419,north
( ၄၃၆ ) မှတ်တိုင်,POINT (96.1678323 16.8667305),node/4861064420,south; southeast
( ၄၄ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.1810597 16.892745),node/4848799165,northwest; outbound; south; southwest
( ၄၄ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.1818612 16.892969),node/4848799166,east; north; northeast; southeast
( ၄၅ ) မှတ်တိုင်,POINT (96.1943292 16.8952533),node/4863135969,S; east; north east; southeast
( ၄၅ ) မှတ်တိုင်,POINT (96.1950288 16.8944312),node/4863137346,S; north east; northwest; outbound
( ၄၆ ) လမ်း မှတ်တိုင်,POINT (96.1684595 16.7739411),node/4840939671,east; outbound
( ၄၆ ) လမ်း မှတ်တိုင်,POINT (96.1685679 16.7765378),node/4841016176,Outbound; inbound
( ၄၆ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.1928623 16.8986737),node/4848770738,S; W; south; southwest
( ၄၆ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.1926756 16.89885),node/4898889669,S; north east; northwest; outbound
( ၄၆ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.1923572 16.8988816),node/4898889670,E; north east
( ၄၆ ) လမ်းဆုံ မှတ်တိုင်,POINT (96.1924553 16.8984806),node/4863358806,east; north; northeast; southeast
( ၄၉ ) အစိမ်းဂိတ် မှတ်တိုင်,POINT (96.2113264 16.7909826),node/4849311848,E; N; east; outbound; south
( ၄၉ ) အစိမ်းဂိတ် မှတ်တိုင်,POINT (96.2114511 16.7911655),node/4849311847,E; S; east; inbound; north; outbound
( ၅ ) ကွေ့ မှတ်တိုင်,POINT (96.2065674 16.7910072),node/4842898849,N; outbound
( ၅ ) ကွေ့ မှတ်တိုင်,POINT (96.2064473 16.7910543),node/4842898852,S; inbound
( ၅ ) ကွေ့ မှတ်တိုင်,POINT (96.2065267 16.79168),node/4842898847,E; east; north; outbound
( ၅ ) ကွေ့ မှတ်တိုင်,POINT (96.2055719 16.7917376),node/4842898848,E; east; outbound; south
( ၅ ) ထိပ် မှတ်တိုင်,POINT (96.0712842 16.8771014),node/4836127939,E; Outbound; inbound; north; northeast; outbound; outboundinbound
( ၅ ) လမ်း မှတ်တိုင်,POINT (96.1567196 16.8743156),node/4847035950,W; inbound; south; southwest; west
( ၅ ) လမ်း မှတ်တိုင်,POINT (96.1569074 16.8741272),node/4847035951,E; N; east; north; northeast
( ၅၀ ) ကွေ့ မှတ်တိုင်,POINT (96.1725789 16.7744414),node/4840885755,southeast
( ၆ ) ကွေ့ မှတ်တိုင်,POINT (96.1628967 16.9191024),node/4846864608,N; north
( ၆ ) ကွေ့ မှတ်တိုင်,POINT (96.1633069 16.9189045),node/4854819241,East; east; north
( ၆ ) ကွေ့ မှတ်တိုင်,POINT (96.1625854 16.9186775),node/4858904762,north
( ၆ ) ကွေ့ မှတ်တိုင်,POINT (96.1625157 16.9184552),node/4899313874,south
( ၆ ) ကွေ့ မှတ်တိုင်,POINT (96.1629994 16.9184634),node/4912261719,inbound; south; southeast
( ၆ ) မိုင်ခွဲ မှတ်တိုင်,POINT (96.1358389 16.8443289),node/4841107523,Northeast; north; outbound
( ၆ ) မိုင်ခွဲ မှတ်တိုင်,POINT (96.1355995 16.8444053),node/4841107524,Southwest; inbound; south
( ၆၂ ) မှတ်တိုင်,POINT (96.2501934 16.8807671),node/4841318895,inbound
( ၆၂ ) မှတ်တိုင်,POINT (96.2502632 16.8806265),node/4841318896,outbound
( ၆၄၆ ) မှတ်တိုင်,POINT (96.1145901 16.9310027),node/4849279170,east; north; west
( ၆၄၆ ) မှတ်တိုင်,POINT (96.1142505 16.931005),node/4849301617,East; southeast; west
( ၆၅ ) ရပ်ကွက် မှတ်တိုင်,POINT (96.2428778 16.83497),node/4856926033,east; outbound
( ၆၅ ) ရပ်ကွက် မှတ်တိုင်,POINT (96.2426949 16.8349298),node/4856926034,inbound; outbound; west
( ၇ ) မိုင် မှတ်တိုင်,POINT (96.1413765 16.8560711),node/4841139055,Northeast; north; outbound
( ၇ ) မိုင် မှတ်တိုင်,POINT (96.1411217 16.8561052),node/4841139056,Southwest; inbound; south
( ၈ ) ဂိတ် မှတ်တိုင်,POINT (96.2138182 16.8049677),node/4840922549,E; east; forward; inbound; north; south; west
( ၈ ) ဂိတ် မှတ်တိုင်,POINT (96.2135416 16.8047705),node/4840922548,E; east; outbound; south; southeast
( ၈ ) မိုင် လမ်းဆုံ မှတ်တိုင်,POINT (96.1412929 16.8679131),node/4841150066,INBOUND; inbound; outbound; outboundinbound
( ၈ ) မိုင် လမ်းဆုံ မှတ်တိုင်,POINT (96.1417575 16.8674891),node/4841150067,OUTBOUND; outbound; outboundinbound
( ၈ ) မိုင် လမ်းဆုံ မှတ်တိုင်,POINT (96.1415863 16.8656845),node/4855184512,E; INBOUND; Outbound; W; south; west
( ၈ ) မိုင် လမ်းဆုံ မှတ်တိုင်,POINT (96.1412165 16.8646862),node/4855184513,E; OUTBOUND; east; inbound; north
( ၉ ) မိုင် မှတ်တိုင်,POINT (96.1363348 16.8805447),node/4841182138,OUTBOUND; east; outbound; outboundinbound
( ၉ ) မိုင် မှတ်တိုင်,POINT (96.1349352 16.8816145),node/4841182139,INBOUND; inbound; outbound; outboundinbound; west
( ၉ ) မိုင်ခွဲ မှတ်တိုင်,POINT (96.1359205 16.8838295),node/4841193932,OUTBOUND; east; outbound; outboundinbound
( ၉ ) မိုင်ခွဲ မှတ်တိုင်,POINT (96.1355283 16.8850924),node/4841193933,INBOUND; inbound; outbound; outboundinbound; west
( ဃ ) ဈေး မှတ်တိုင်,POINT (96.1594393 16.8964526),node/4846937892,N; north
( ဃ ) ဈေး မှတ်တိုင်,POINT (96.1595342 16.8967715),node/4846949607,inbound; south; southeast
( ဈ ) ဈေး မှတ်တိုင်,POINT (96.1621697 16.9118941),node/4855085156,W; south; southeast; west
( ဈ ) ဈေး မှတ်တိုင်,POINT (96.1617972 16.9117082),node/4855085157,E; east; north; northwest
(၁၀) မိုင် မှတ်တိုင်,POINT (96.2119809 16.9124656),node/4849386304,S; north; south; southwest
(၁၀) မိုင် မှတ်တိုင်,POINT (96.212442 16.9119926),node/4849386309,S; north; northeast; south
(၁၂) ဂိတ် မှတ်တိုင်,POINT (96.2186792 16.8934592),node/4836223393,north
(၁၂) ဂိတ် မှတ်တိုင်,POINT (96.2186281 16.8935361),node/4836223394,south
(၁၂) လမ်း မှတ်တိုင်,POINT (96.147934 16.9649807),node/4841373678,east; inbound; south
(၁၂) လမ်း မှတ်တိုင်,POINT (96.1481856 16.9647152),node/4841373679,N; north; west
(၁၂) လုံးတန်း မှတ်တိုင်,POINT (96.1634012 16.8309115),node/4855410217,S; north east; west
(၁၂) လုံးတန်း မှတ်တိုင်,POINT (96.1634941 16.8308253),node/4855410218,S; east; north east
(၁၃) ဂိတ် မှတ်တိုင်,POINT (96.226518 16.8884699),node/4836223387,south
(၁၃) ဂိတ် မှတ်တိုင်,POINT (96.2264392 16.8883689),node/4836223388,north
(၁၅) လမ်း မှတ်တိုင်,POINT (96.1464336 16.7773217),node/4841031522,Outbound; north; outbound
(၁၆) ကွေ့ မှတ်တိုင်,POINT (96.1802539 16.9358847),node/4789200921,
(၁၆) ကွေ့ မှတ်တိုင်,POINT (96.1800403 16.9358584),node/4863128509,
(၁၈) ကုန်း မှတ်တိုင်,POINT (96.2686189 16.7394266),node/4840996089,S; east; forward; north; south; west
(၁၈) ကုန်း မှတ်တိုင်,POINT (96.2680355 16.7398185),node/4840996090,N; east; south; southeast
(၂၀) ဈေး မှတ်တိုင်,POINT (96.2362155 16.8496104),node/4841280542,northwest; outbound
(၃) ဈေး မှတ်တိုင်,POINT (96.1427391 16.7572898),node/4877214715,east; north
(၃) ဈေး မှတ်တိုင်,POINT (96.1976459 16.7821057),node/4840870188,E; east; south
(၃) ဈေး မှတ်တိုင်,POINT (96.1973013 16.7815125),node/4840870187,E; north; west
(၃) ထိပ် မှတ်တိုင်,POINT (96.0773818 16.9815201),node/4873446757,east; north; northeast; southwest
(၃) ထိပ် မှတ်တိုင်,POINT (96.077383 16.9814873),node/4873446758,Intbound; northeast; south; southeast; southwest; west
(၃၁) ဂိတ်/(၁) ဂိတ် မှတ်တိုင်,POINT (96.1943035 16.8489823),node/4840901540,E; east; north; outboundinbound
(၃၁) ဂိတ်/(၁) ဂိတ် မှတ်တိုင်,POINT (96.194037 16.8488685),node/4840901541,E; outbound; outboundinbound; south; southeast
(၃၅) ကွေ့ မှတ်တိုင်,POINT (96.187015 16.868125),node/4840917590,Northeast; S; north; north east; outbound
(၃၅) ကွေ့ မှတ်တိုင်,POINT (96.1871689 16.8682897),node/4840917591,S; Southwest; north east; outbound; south
(၃၆) ဂိတ်ဟောင်း မှတ်တိုင်,POINT (96.2156523 16.8920228),node/4836223395,south
(၃၆) ဂိတ်ဟောင်း မှတ်တိုင်,POINT (96.2157197 16.8919081),node/4836223396,north
(၄၆) လမ်း မှတ်တိုင်,POINT (96.168162 16.7788808),node/4885081124,southeast
(၅၀) ကွေ့ မှတ်တိုင်,POINT (96.1870371 16.9084808),node/4854982577,E; north east
(၅၀) ကွေ့ မှတ်တိုင်,POINT (96.1868452 16.9086665),node/4854982578,W
(၅၀) ကွေ့ မှတ်တိုင်,POINT (96.1869533 16.9088301),node/4896971863,north east
(၅၄) သမ မှတ်တိုင်,POINT (96.2451862 16.8597415),node/4841292886,outbound; outboundinbound
(၅၄) သမ မှတ်တိုင်,POINT (96.2451156 16.8597959),node/4841292887,inbound; outboundinbound
(၅၆) မှတ်တိုင်,POINT (96.2463694 16.8611029),node/4841295522,outbound; outboundinbound
(၅၆) မှတ်တိုင်,POINT (96.2464345 16.8612712),node/4841295523,inbound; outboundinbound
(၆) ကွေ့ မှတ်တိုင်,POINT (96.1633889 16.9190533),node/4911993823,south; west
(၆) ထပ် ရုံး မှတ်တိုင်,POINT (96.1577997 16.77079),node/4840952639,Outbound; outbound
(၆) ထပ် ရုံး မှတ်တိုင်,POINT (96.1567395 16.7709483),node/4840994118,Inbound
(၆) လမ်း မှတ်တိုင်,POINT (96.1777027 16.8691995),node/4868983193,E; outbound
(၆) လမ်း မှတ်တိုင်,POINT (96.1779078 16.8691142),node/4868984987,E; east
(၆) လမ်း မှတ်တိုင်,POINT (96.1479687 16.9706204),node/5087889322,N; north; west
(၆) လမ်း မှတ်တိုင်,POINT (96.1477653 16.9708093),node/5202084628,east; inbound; south
(၇) ဈေး မှတ်တိုင်,POINT (96.2057844 16.7986853),node/4840900245,E; east; south
(၇/၈) လမ်းဆုံ မှတ်တိုင်,POINT (96.1962716 16.8921264),node/4840951713,S; north east; northwest
(၇/၈) လမ်းဆုံ မှတ်တိုင်,POINT (96.1969318 16.8911479),node/4868950547,E; Northeast; S; east; north; northeast; south
(၇/၈) လမ်းဆုံ မှတ်တိုင်,POINT (96.1959829 16.8922538),node/4868975950,S; east; north east; southeast
(၇/၈) လမ်းဆုံ မှတ်တိုင်,POINT (96.1964957 16.8919754),node/4869137038,E; Southwest; inbound; north; outbound; south
(၇/၈) လမ်းဆုံ မှတ်တိုင်,POINT (96.1967789 16.8912527),node/6135367692,S; north east; northwest
(၇၀/၇၁) ဈေး မှတ်တိုင်,POINT (96.2547319 16.8706545),node/4841306879,outbound
(၇၀/၇၁) ဈေး မှတ်တိုင်,POINT (96.2546931 16.8705553),node/4841306880,inbound; outboundinbound
(၇၀/၇၁) ဈေး မှတ်တိုင်,POINT (96.2548636 16.8707225),node/4896759826,inbound
(၇၀/၇၁) ဈေး မှတ်တိုင်,POINT (96.2547557 16.8705409),node/4896759827,outbound; outboundinbound
(၈၉) ကွေ့ မှတ်တိုင်,POINT (96.2797538 16.8423909),node/4877198779,
(၈၉) ကွေ့ မှတ်တိုင်,POINT (96.2796787 16.8424346),node/4877198780,
(၉) ဂိတ်ဟောင်း မှတ်တိုင်,POINT (96.1197375 17.0518757),node/4875592427,Outbound; outbound
(၉) ဂိတ်ဟောင်း မှတ်တိုင်,POINT (96.1196029 17.0519405),node/4875592428,Inbound; inbound
